Linear Regression,Non-Linear Regression 1,Non-Linear Regression 2
-3995.9101352132025,-4380.033016204834,-4574.951124928865
-3731.783131474172,-4155.306816101074,-4269.22787950651
-3806.2511883645257,-4226.589202880859,-4368.069228365574
-3574.162443353175,-3976.6359329223633,-4135.985707410084
-3240.6866836914073,-3483.8247299194336,-3774.431471856245
-3580.131157725228,-3899.7602462768555,-4168.561298685182
-3228.1825716749213,-3477.158546447754,-3792.161990347504
-3468.8614990165875,-3791.52774810791,-4028.0048759499905
-3505.687730627464,-3825.4737854003906,-4068.9381035150363
-3479.24567228676,-3717.327117919922,-4074.8139300259672
-3515.3104854287785,-3690.1330947875977,-4130.362622562126
-3422.404699952986,-3618.3786392211914,-4022.7852023440055
-3489.128813597027,-3635.7879638671875,-4110.893085187849
-3465.431518988129,-3621.4828491210938,-4097.671553066749
-3526.4110631398203,-3681.8933486938477,-4188.4152219538955
-3434.5867546862755,-3588.7956619262695,-4108.118798631552
-3289.3546976518655,-3434.2145919799805,-3952.8100588461966
-3234.931817978397,-3363.3971214294434,-3923.6799951665967
-3190.3665250999416,-3327.9991149902344,-3863.086983052227
-2573.481948203337,-2517.3354148864746,-3219.021987204293
-2569.3633344192117,-2510.998249053955,-3230.8585815861707
-2842.391578842497,-2877.817153930664,-3526.30731180627
-2763.2331093665252,-2794.1179275512695,-3434.5577199017007
-2483.353639743194,-2397.0937728881836,-3134.9668588594786
-2091.012449614289,-1871.5095520019531,-2744.6057686516656
-1910.703150983104,-1615.8127784729004,-2538.7087671596523
-1856.828774435048,-1552.1550178527832,-2477.8418225851437
-1894.3256833302573,-1603.8894653320312,-2507.115405761032
-2329.805741222689,-2179.684638977051,-2955.433828625698
-2073.4454220660755,-2138.793468475342,-2611.255885926656
-1922.5386673524827,-1549.8876571655273,-2367.824518450581
-1633.0327824506446,-1554.7657012939453,-2168.042841754172
-1691.4357586398717,-1709.5184326171875,-2415.6421533241983
-1659.0942856028869,-1658.0915451049805,-2419.299913747343
-1641.3762157460344,-1540.0958061218262,-2451.772374883165
-2445.898422239372,-2606.077194213867,-3269.676295542604
-2196.5288852158133,-2286.529541015625,-3010.34053886809
-2792.8632958420203,-3083.16707611084,-3599.905417896952
-2948.228466744647,-3295.31192779541,-3752.7608391994117
-2639.6187311016297,-2819.2663192749023,-3471.946793187808
-2638.675141004036,-2720.768451690674,-3492.2934890968486
-3201.089962697467,-3455.2860260009766,-4108.6346086218855
-3025.8607952531293,-3269.0906524658203,-4030.8849185270237
-3010.3565943236827,-3243.584632873535,-4016.5772582335253
-3182.675705948751,-3481.428623199463,-4224.246539955642
-4003.6498572499486,-4312.613010406494,-5027.669349004556
-3633.6432199142196,-3955.972194671631,-4635.311389096424
-3332.703378229046,-3714.931011199951,-4226.965475965049
-3416.8153238973946,-3786.8356704711914,-4283.108834778197
-3378.2799332462196,-3795.003890991211,-4228.549508565937
-3102.555596233172,-3447.132110595703,-3953.1770655347955
-2477.753222813733,-2693.2311058044434,-3286.013037638286
-2704.660859000401,-2864.692211151123,-3546.261284494117
-2432.0537167701564,-2519.2880630493164,-3252.289674806749
-1941.8744161467582,-1781.322956085205,-2766.6513864320345
-1410.3978516350235,-1067.9841041564941,-2205.17808606576
-1544.7321424915717,-1378.9057731628418,-2127.6874158866913
-1907.2700831181437,-1421.8926429748535,-2488.7119022458273
-1784.7173484580685,-1311.7146492004395,-2306.23953450205
-2024.6604711939535,-1526.7634391784668,-2593.7009501508232
-2101.617411889441,-1528.4371376037598,-2829.662388713564
-2659.9757127848384,-2127.506732940674,-3386.055804416743
-2456.700948718634,-1911.163330078125,-3241.8582784381965
-2250.263616920469,-1636.5909576416016,-3143.01118112953
-2409.216440343628,-1767.411231994629,-3327.124936634854
-2606.368099769269,-1960.2084159851074,-3540.521785795792
-2649.297167278381,-1998.5318183898926,-3603.4633643233815
-2637.8862741400635,-2031.5837860107422,-3564.3622983273963
-2151.108918371692,-1521.928310394287,-3081.4200483201353
-2151.0550038041524,-1499.9127388000488,-3116.8826734386644
-2302.9253898619486,-1687.6602172851562,-3220.786945832043
-2132.2895797368074,-1512.923240661621,-2994.9486525456427
-2354.6827013906623,-1807.7945709228516,-3272.294122107133
-1640.1589247079946,-1127.2716522216797,-2521.6617542329363
-1332.3055342262123,-896.5873718261719,-2215.742562216363
-926.1893012796057,-630.333423614502,-1917.859314611802
-676.934098584886,-434.38196182250977,-1680.039343374799
-719.0994794650139,-509.06896591186523,-1753.0026205740567
-204.15411713829042,-114.15481567382812,-1268.4675087211963
-387.7568521424042,-281.5675735473633,-1606.053441291592
-391.71520279002044,-253.74412536621094,-1564.7560532873392
-898.8730656901731,-666.1891937255859,-2112.320338446155
