Linear Regression,Non-Linear Regression 1,Non-Linear Regression 2
-2250.263616920468,-1633.3293914794922,-3143.0111811295133
-2409.216440343627,-1764.1639709472656,-3327.1249366348375
-2606.368099769268,-1957.0255279541016,-3540.5217857957755
-2649.297167278379,-1995.3632354736328,-3603.463364323364
-2637.886274140062,-2028.4366607666016,-3564.3622983273794
-2151.108918371691,-1518.6738967895508,-3081.4200483201175
-2151.055003804152,-1496.586799621582,-3116.8826734386457
-2302.925389861948,-1684.4701766967773,-3220.7869458320256
-2132.2895797368064,-1509.6044540405273,-2994.948652545627
-2354.6827013906614,-1804.4614791870117,-3272.2941221071164
-1640.1589247079946,-1123.7239837646484,-2521.661754232919
-1332.3055342262123,-892.9967880249023,-2215.7425622163464
-926.1893012796061,-626.6498565673828,-1917.8593146117832
-676.9340985848869,-430.59825897216797,-1680.03934337478
-719.0994794650146,-505.3138732910156,-1753.0026205740373
-204.15411713829144,-110.42118072509766,-1268.4675087211756
-387.75685214240525,-277.6479721069336,-1606.0534412915697
-391.71520279002146,-249.79591369628906,-1564.756053287318
-898.8730656901737,-662.3125076293945,-2112.320338446135
-1085.6611443956579,-830.0113677978516,-2264.7867459318313
-851.396740290925,-556.5547943115234,-1995.8781622186918
-938.4174600800021,-585.7086181640625,-2004.8418864731589
-937.645580293935,-561.7189407348633,-1965.915592754596
-874.7215950196403,-527.1005630493164,-1913.2851629188267
-697.9182861709553,-443.91632080078125,-1764.770628421323
-901.5998964944814,-525.5270004272461,-1925.000416956037
-1234.1029658056568,-907.4163436889648,-2296.9700667221705
-1175.0755068304115,-888.1902694702148,-2198.2595894127658
-2534.022570056543,-2739.3722534179688,-3606.037651951085
-2426.4548024431447,-2572.4315643310547,-3500.347555068865
-2466.684441778037,-2634.873390197754,-3506.922004513633
-2669.224626626281,-2856.5454483032227,-3678.549840799595
-2646.1619396185456,-2829.8377990722656,-3663.4611065909066
-3014.327706525113,-3405.604362487793,-4057.7336317168156
-2817.2593590508754,-3178.8110733032227,-3893.740404178274
-2848.5125977202224,-3288.3453369140625,-3998.47774073474
-3066.6172135229003,-3571.786880493164,-4221.525733379866
-3006.8546542834406,-3505.0535202026367,-4161.875361786576
-2423.0733554803833,-2587.5091552734375,-3544.9896029227725
-2734.4031829889495,-3051.166534423828,-3872.597274908999
-2158.2773964255207,-2159.600257873535,-3266.0093965468122
-1729.7219982930894,-1522.9082107543945,-2799.1388593256684
-1430.7219524894906,-1130.690574645996,-2484.7163158378908
-1633.996878089251,-1375.8516311645508,-2619.611384757035
-1302.1375454138997,-916.9578552246094,-2265.9748983887957
-1591.0242642873418,-1275.2151489257812,-2553.068973393894
-1640.1278660131318,-1359.9443435668945,-2621.122862208504
-1580.7212153038217,-1283.3833694458008,-2549.3906370198447
-1559.9156367494252,-1241.440773010254,-2525.1414339727153
-1122.0670339593119,-704.2121887207031,-2057.0730349737314
-914.5289489964978,-507.1878433227539,-1857.9071778132884
-1225.4828230954924,-849.0371704101562,-2215.4919265377753
-686.4529904168136,-346.3268280029297,-1655.1037431289296
-1393.2179482814056,-1116.499900817871,-2347.238356276951
-1115.1453493082008,-742.3067092895508,-2085.631511579978
-2000.39026109528,-1862.325668334961,-2993.8147706892037
-2571.3210518107226,-2667.4747467041016,-3601.9096888637187
-2479.1208259293894,-2588.8538360595703,-3543.3439229809246
-2929.972358081017,-3195.662498474121,-4011.5474846210313
-2660.0330681151027,-2998.995780944824,-3766.6756921935266
