,ReguReg
107,-2063.766297592711
108,-2151.095823817757
109,-2118.140925751684
110,-1819.636019693317
111,-1164.1165004156355
112,-1386.2136283496554
113,-1099.4902022535434
114,-570.7331178603278
115,-4.408990965301925
116,-261.06870955122463
117,-706.2672959279099
118,-598.890721136109
119,-855.3279774777664
120,-930.1099103876468
121,-1539.2099192064554
122,-1327.9551475121812
123,-1107.5643939221097
124,-1261.1248801567529
125,-1468.4863952252215
126,-1521.1410306591513
127,-1520.4434460558427
128,-1002.9127146738638
129,-996.300611535143
130,-1165.9128036961663
131,-973.6059584699847
132,-1177.8085184785327
133,-415.2587219587173
134,-73.93994920450699
135,385.77574537033354
136,663.7223594415182
137,633.4115744153969
138,1187.6659804199737
139,1070.8581872903396
140,1057.6511564173325
141,544.8185249202554
142,339.5291207876341
143,595.6255216814088
144,502.84049688832306
145,506.21365504457646
146,582.9700906979341
147,774.8928175410865
148,548.9808010131788
149,200.13978504042288
150,268.5306617869144
151,-1180.7865459209233
152,-1066.552975869128
153,-1108.1064192255867
154,-1324.1923535435935
155,-1299.7865954514032
156,-1691.6911496699358
157,-1482.1732048112497
158,-1516.9801773759664
159,-1749.8162058303715
160,-1685.9118933328282
161,-1064.8349274079537
162,-1396.7204078807222
163,-785.204181748228
164,-335.788276786542
165,-20.25066953966
166,-240.40344660704824
167,125.81005451154871
168,-179.19232104209442
169,-229.83388807650095
170,-165.52274326319753
171,-145.112274915924
172,316.5024878865168
173,539.8280868120585
174,209.69120050933105
175,785.0003366191419
176,4.00583344113436
177,330.77530726776814
178,-626.9552400868648
179,-1231.2521789199418
180,-1124.8650584354518
181,-1609.38853881686
182,-1315.0629034001888
183,-1895.5528828536535
184,-1438.9568076191101
185,-1285.5849345747158
186,-1024.87901779237
187,-1148.8608556331146
188,-1217.056011553952
189,-1564.387509441802
190,-736.2554749232074
191,-1034.6609016005366
192,-855.2379815996077
193,-582.6869829003349
194,-644.9807134220583
195,-945.6104209330912
196,-1329.0034014661603
197,-1409.0732657936378
198,-1041.997639963321
199,-1073.4022588895812
200,-1018.8825676185124
201,-974.5526830343281
202,-962.0444199406508
203,-918.2253621020609
204,-955.7351837050497
205,-785.3473887440574
206,-307.9466287692901
207,-42.70718112596163
208,137.51544106286366
209,309.77809516422985
210,56.901754462112166
211,219.4655581793157
212,308.96298942930457
213,438.07927614250275
214,538.8829102727411
215,580.1851921554405
216,426.0577664579179
217,584.1326831207925
218,672.8992578004691
219,698.9893704805808
220,394.3807584311109
221,433.3253375028844
222,642.3783164593315
223,804.2220900827627
224,748.4551891891015
225,476.4138350354535
226,432.4418901069561
227,167.45297376294357
228,-106.19239843967121
229,240.00271021362937
230,326.4778978090521
231,931.0559374812948
232,1057.1616167212558
233,1110.7265356255684
234,1120.871786805834
235,1218.9076265041415
236,951.2978415830536
237,996.0236303025391
238,1062.258943265608
239,896.6021796735243
240,1124.7168420288183
241,1321.0066232595314
242,742.7346445024478
243,592.3191786641477
244,391.2634466766772
245,325.77713567586653
246,402.86818745172417
247,368.8635892875712
248,443.3189815987168
249,-792.0420072159474
250,-1173.0412790537787
251,-1106.4639404973816
252,-1083.2534795617225
253,-1048.8046082767603
254,-959.0256952129366
255,-366.2314983264708
256,-149.720746297869
257,40.07875217801677
258,256.0971709176773
259,-646.5008281204157
260,-510.314285802532
261,-796.9844499609694
262,-629.7881769849075
263,-745.4702716715226
264,-760.2585465412425
265,-471.02456077104046
266,-432.2599435611669
267,196.74994416563615
268,215.52151478726805
269,617.3824096602916
270,45.96736771458427
271,66.73397258215867
272,521.4629026239575
273,248.33306692045392
274,-137.87463139129576
275,-336.88847306563423
276,-440.52381000277984
277,-795.60822485427
278,-917.7155803048431
279,-833.9130056665465
280,-811.4408062694462
281,-1043.545635740489
282,-1950.3642331789433
283,-1895.1156135713468
284,-1758.6058903821202
285,-2336.0888887664496
286,-2491.488336543462
287,-2548.1938353084397
288,-2777.7621703333293
289,-3039.3633732406197
290,-2661.859414529514
291,-3227.4893283496126
292,-3398.9051674444504
293,-2928.539983962373
294,-3414.2804326636406
295,-3394.8934386879905
296,-3628.0761660375592
297,-3349.161234097992
298,-3479.15508328091
299,-3353.6432867935287
300,-3279.4803596026964
301,-3458.974659376249
302,-3189.780322112378
303,-2899.7698820456458
304,-3263.6109825596286
305,-3328.9403700066205
306,-3519.213459421177
307,-3571.912650162745
308,-3697.1173996448265
309,-3194.142505667571
310,-3287.291494630174
311,-3267.6923749973153
312,-3290.8966845874206
313,-3400.201941494658
314,-3283.696663248163
315,-3574.083288844683
316,-3989.280781183961
317,-3973.8951814000848
318,-3892.4771896745333
319,-3649.261006639813
320,-2964.2879819703835
321,-2643.115398791737
322,-3010.767540296211
323,-3044.7714711215017
324,-2667.454312814601
325,-2225.827832491056
326,-1545.9268965254855
327,-511.7285759078085
328,-279.8888924995865
329,-168.1838025173135
330,-513.7301323488814
331,-432.5118502488041
332,-226.243042578386
333,-106.67699100506483
334,-11.119830594627798
335,113.85427585193031
336,141.16079578755134
337,174.78291282875665
338,-2.365518642420553
339,158.40233651468174
340,330.77381628864987
341,353.95088303216824
342,254.3005084763305
343,683.3800775308212
344,679.5497151158968
345,647.9623359555643
346,759.0229447462843
347,743.4652430183979
348,1248.9737967611234
349,1201.4400812467413
350,704.5796189963431
351,887.6151044539416
352,1091.8518646459218
353,735.9039739275962
354,-9.093117431440422
355,-649.8246053998847
356,-98.75203185344516
357,-515.6443304160636
358,-173.07525355142
359,-642.5811688005527
360,-609.0405561967876
361,-382.5453370769323
362,-185.08086024125066
363,-708.0092526674466
364,-559.1495762644934
365,-567.0329998387901
366,-1325.4447109486905
367,-1114.9256046048642
368,-1180.2489088142552
369,-1310.9010592449806
370,-1771.8451939847273
371,-1874.6727842286425
372,-1795.297873443911
373,-1668.8040849096205
374,-2099.0433446419247
375,-2325.1518267857
376,-2152.4675399837256
377,-2382.961823761173
378,-2110.237730624949
379,-2363.1263875803393
380,-2855.307936141529
381,-3183.441211490307
382,-3282.7528473497964
383,-3746.6558294636516
384,-3405.3998799351025
385,-4364.982666278957
386,-4353.005538409136
387,-4867.675161188806
388,-4165.2713055492195
389,-2901.029458573249
390,-2001.3239932869074
391,-1835.389968058901
392,-1934.9350272654688
393,-1488.2854310694981
394,-3169.118156764234
395,-3020.900982445746
396,-2545.2235137582943
397,-2040.1374168472234
398,-1698.1891598579705
