datetime,AKI Kalby Active Power,Maximum temperature,Mean wind speed,Wind direction sin,Wind direction cos,BalancingPriceUpEUR,BalancingPriceDownEUR,DA_PriceEUR
2022-02-27 14:00:00,-6.673177083333334e-06,-1.0008524009973734,-0.8518758977972061,0.8090169943749475,-0.587785252292473,0.11167997,0.089999733,0.11168
2022-02-27 15:00:00,-6.673177083333334e-06,-1.0762562661342248,-1.0762930025839672,0.8290375725550417,-0.5591929034707467,0.151539948,0.111999786,0.1515399999999999
2022-02-27 16:00:00,-6.673177083333334e-06,-1.151660131271076,-1.1136958533817607,0.9925461516413221,-0.12186934340514737,0.176149582,0.123999573,0.17615
2022-02-27 17:00:00,-6.673177083333334e-06,-1.2572255424626677,-1.1136958533817607,0.9702957262759965,0.24192189559966767,0.229900024,0.1550001369999999,0.2299
2022-02-27 18:00:00,-6.673177083333334e-06,-1.3627909536542593,-1.1510987041795544,0.9063077870366499,0.42261826174069944,0.275887543,0.275759888,0.27576
2022-02-27 19:00:00,-6.673177083333334e-06,-1.4381948187911104,-1.2633072565729349,0.9659258262890683,0.25881904510252074,0.274499451,0.134999603,0.2745
2022-02-27 20:00:00,-6.673177083333334e-06,-1.4231140457637403,-1.3755158089663155,0.8829475928589269,0.46947156278589086,0.220700638,0.132500198,0.2206999999999999
2022-02-27 21:00:00,-6.673177083333334e-06,-1.453275591818481,-1.1885015549773479,0.9993908270190958,0.03489949670250108,0.187880615,0.1320003199999999,0.18788
2022-02-27 22:00:00,-6.673177083333334e-06,-1.392952499709,-1.1136958533817607,0.9659258262890683,-0.25881904510252085,0.1725200959999999,0.132500198,0.17252
2022-02-27 23:00:00,-6.673177083333334e-06,-1.40803327273637,-1.0388901517861737,0.9510565162951536,-0.30901699437494734,0.149680191,0.1310005649999999,0.14968
2022-02-28 00:00:00,-6.673177083333334e-06,-1.3627909536542593,-0.9640844501905866,0.90630778703665,-0.42261826174069933,0.163210312,0.163210312,0.16318
2022-02-28 01:00:00,-6.673177083333334e-06,-1.3627909536542593,-1.1510987041795544,0.8910065241883679,-0.45399049973954675,0.14325708,0.14325708,0.14323
2022-02-28 02:00:00,-6.673177083333334e-06,-1.3627909536542593,-1.3007101073707283,0.40673664307580043,-0.9135454576426008,0.143167038,0.143167038,0.14314
2022-02-28 03:00:00,-6.673177083333334e-06,-1.3778717266816298,-1.338112958168522,-0.34202014332566866,-0.9396926207859084,0.14325708,0.14325708,0.14323
2022-02-28 04:00:00,-6.673177083333334e-06,-1.453275591818481,-1.4129186597641092,-0.8090169943749473,-0.5877852522924732,0.191856613,0.191856613,0.19182
2022-02-28 05:00:00,-6.673177083333334e-06,-1.5286794569553321,-1.4877243613596962,-0.9205048534524403,-0.3907311284892738,0.176022797,0.176022797,0.17599
2022-02-28 06:00:00,-6.673177083333334e-06,-1.5135986839279618,-1.4503215105619025,-0.9743700647852351,-0.22495105434386525,0.255847809,0.255847809,0.2558
2022-02-28 07:00:00,-6.673177083333334e-06,-1.40803327273637,-1.599932913753077,-0.7986355100472928,-0.6018150231520483,0.323086121,0.322961121,0.3228999999999999
2022-02-28 08:00:00,-6.673177083333334e-06,-1.031013947052114,-1.599932913753077,-0.6156614753256582,-0.788010753606722,0.309084198,0.308957855,0.3088999999999999
2022-02-28 09:00:00,-6.673177083333334e-06,-1.0159331740247437,-0.5526530914148576,0.258819045102521,-0.9659258262890682,0.245396759,0.245396759,0.2453499999999999
2022-02-28 10:00:00,-0.0031401279208896397,-0.9556100819152628,-0.40304168822368347,-0.15643446504023073,-0.9876883405951378,0.268802765,0.1638514099999999,0.16382
2022-02-28 11:00:00,-0.005445070103236607,-0.910367762833152,-0.440444539021477,-0.22495105434386498,-0.9743700647852352,0.173381805,0.1455768429999999,0.14555
